name,id_spotify,id_genius,url_genius,genres
Brulux,1LYOKaB67uPrzpNMIk10k9,54307,https://genius.com/artists/Brulux,
Liim’s,2XpsF0ZQfBV08auUoRnNJE,1271282,https://genius.com/artists/Liims,
Oxmo Puccino,44bvfFf9VeGwVjK0QDqQ7O,1947,https://genius.com/artists/Oxmo-puccino,
MC Solaar,3nU8TSIICYDbUqRpJISTRE,1310,https://genius.com/artists/Mc-solaar,
Guizmo,6sYR8JTRUUUzSD9IydLhfG,13640,https://genius.com/artists/Guizmo,
Lefa,25yJrwrn5I0EUdQEiTtNSO,15927,https://genius.com/artists/Lefa,"pop urbaine,moroccan rap"
Scylla,7fRBY7RRf4iMn2Z4bhZcYA,2717914,https://genius.com/artists/Jorge-rivera-herrans,
Stupeflip,7qiRNP9z0FhN63YcLmb8Ai,13866,https://genius.com/artists/Stupeflip,
ASHE 22,3tTvSeZiFDP3CY5EdPGcR4,63888,https://genius.com/artists/Freeze-corleone,"drill,uk drill"
Benab,0qO3t2MHM5NIEJ5fw9VndY,1472608,https://genius.com/artists/Benab,pop urbaine
SNIPER,1nTVNdaDAzXB1AbP30cGk6,1507,https://genius.com/artists/Sniper,
Kekra,20pbz4TbpkBUr5JwYfGgPS,649966,https://genius.com/artists/Kekra,pop urbaine
Nahir,3x3gsBtmPOSQVqdBzO7N5E,1713995,https://genius.com/artists/Nahir,pop urbaine
Gambino,5Wf0eeUkR6rRAre6L7H7jW,1745,https://genius.com/artists/Childish-gambino,pop urbaine
Fresh laDouille,1ssrFpfMmM0vRx85eO2XKL,2358449,https://genius.com/artists/Fresh-ladouille,drill
Lujipeka,1eTRyiHsWMoWKPD6s4Kiqt,244692,https://genius.com/artists/Lujipeka,
Casseurs Flowters,5sXx89ZqVFOUKTl5g2uiST,20190,https://genius.com/artists/Casseurs-flowters,
YL,2k8fAJK9HbH1FhqVpZL98P,69575,https://genius.com/artists/Ylvis,pop urbaine
Benash,53loJtHWjCG1TyKarW2mzk,342577,https://genius.com/artists/Benash,pop urbaine
B.B. Jacques,3Op4g1wmQJxGTmeFSQ8z52,2757016,https://genius.com/artists/Bb-jacques,
Columbine,5AAzeysphag0NxJxLbbVla,315143,https://genius.com/artists/Columbine,
Krisy,6RwBaA9wZC0BPWZfmGeWMo,21255,https://genius.com/artists/Krisy,
Mister V,5qisLjDrKoHMI9zOK2hfzs,21869,https://genius.com/artists/Mister-v,pop urbaine
Sadek,63MCBZRiUdnqRsAOJwijiB,15237,https://genius.com/artists/Sadek,pop urbaine
13 Block,7rTPCNINGzMp3Hc8Xqht5Z,327072,https://genius.com/artists/13-block,pop urbaine
BOLEMVN,0gGcw3tA1fZoF23qa8KFb7,1219062,https://genius.com/artists/Bolemvn,pop urbaine
Fonky Family,1BTmMBPzv3zEO3f6ilFoct,13333,https://genius.com/artists/Fonky-family,
A2h,2ktpq7bp4m1quizyEmp4r1,14415,https://genius.com/artists/A2h,
ISHA,0dSh0CIa0HPd9kJmJSmGQo,3874269,https://genius.com/artists/Ishaan-bgd,
Ashh,4YUcg2ee9TxMNdjhAxzZBF,340886,https://genius.com/artists/Ashh,
Shurik'n,1ZjPqYngrwDa5ZqwAPcj5o,1770,https://genius.com/artists/Iam,
Kamikaz,3tNQ0aWtzDKGwyWz2oOAFG,45,https://genius.com/artists/Eminem,pop urbaine
Sneazzy,1cA379ILgR07m7XQVXyP6Q,13508,https://genius.com/artists/Sneazzy,
Gambino La MG,2xdTZfuOFh2ylOnnTEs5sg,1480619,https://genius.com/artists/Gambino-la-mg,
Bosh,6Mm2g25BTeJ6BICPFWGkPg,314635,https://genius.com/artists/Bosh,pop urbaine
113,5nTMNNNwQMoCYgzUXdUaB6,1282,https://genius.com/artists/Booba,raï
GLK,3dH7pcBScIJQboDyMzUzez,563979,https://genius.com/artists/Glk,pop urbaine
Doums,4yLgYK2B5nZjZMBiaLyLyK,13259,https://genius.com/artists/Doums,
Gringe,4oVERQ0AxzzQ4zip1nMKlt,13895,https://genius.com/artists/Gringe,
Akhenaton,4ddg7PH5OuSossiSBWgueu,1770,https://genius.com/artists/Iam,
Graya,6AmKZ6kQdFR64iIiUsRMHT,297016,https://genius.com/artists/Graya,pop urbaine
USKY,0VbfTzGkMlei0XtibnO466,671555,https://genius.com/artists/Usky,"cloud rap,pop urbaine"
Souffrance,1uzx1lyRA2RIZlVSxOfBAi,12061,https://genius.com/artists/Diams,
Yaro,09E5z6upwkmwTKX8LGQgMo,2330030,https://genius.com/artists/Exile-music,pop urbaine
Passi,41o2A93SPxIUxsy5HQjvul,130,https://genius.com/artists/Drake,
Lesram,0UeKDbiaApyP7qKfcmGN03,162014,https://genius.com/artists/Lesram,
Larry,0YqeL4iGLLNiwRXZvew1TM,820,https://genius.com/artists/Mac-miller,
L'Allemand,3BX2N7cc1OrBUJQiiei3On,1144818,https://genius.com/artists/Lallemand,pop urbaine
Hös Copperfield,4fn6Kez1kGOO74vNuKrvCU,1174310,https://genius.com/artists/Hos-copperfield,pop urbaine
MMZ,20amiDsCI5EwB6xy37h44k,632250,https://genius.com/artists/Mmz,cloud rap
Django,5gU8eqolA1bziWv6e3Wjp3,985064,https://genius.com/artists/Django,
Mac Tyer,1PTl9q5EaEZejVGts7MBLN,2412,https://genius.com/artists/Mac-tyer,
Kery James,5ydAcIK2KdpBIbL0yGFJle,1273,https://genius.com/artists/Kery-james,
Zuukou mayzie,6a2V6IHS7jT9M1IvJ8V3yB,225437,https://genius.com/artists/Zuukou-mayzie,
Bramsito,1WDkNp8Duv9QhO246S4dDa,994802,https://genius.com/artists/Bramsito,pop urbaine
Seth Gueko,5SZayIKDZvxXaJrxLfnIRN,11499,https://genius.com/artists/Seth-gueko,
Rémy,1rT9J8vtPCzEKL7oGntxnr,2274,https://genius.com/artists/Remy-ma,
Keny Arkana,0Q5EUbHvUWlYpSwmKKbUSF,1753,https://genius.com/artists/Keny-arkana,
Psy 4 De La Rime,2CLtDhw1uJe59E3P56JN6T,15855,https://genius.com/artists/Psy-4-de-la-rime,
Nèg' Marrons,1C2qs1UQDDtf7N1XrS2lcW,30976,https://genius.com/artists/Neg-marrons,ragga
Hooss,3p4FNslxuuEYSEnMsx4YI1,265169,https://genius.com/artists/Hooss,pop urbaine
4Keus Gang,7JDQ2kZsT80ht4tzgIaId4,653543,https://genius.com/artists/4keus-gang,pop urbaine
Kenza Farah,6WBf0WXqyBkCCYAEPUeDxn,20616,https://genius.com/artists/Kenza-farah,
Alkpote,0QcZD8V0Ug1KINWBSyG0dB,15427,https://genius.com/artists/Alkpote,
Lunatic,2T94BUd6X8J1G5EfJj3hZr,1945,https://genius.com/artists/Lunatic,
Chily,0mnNM5o7vtxo3ivC7Tmoah,1634705,https://genius.com/artists/Chily,"pop urbaine,shatta"
Furax Barbarossa,4LujPNfyrtunY5noju2iIa,17313,https://genius.com/artists/Furax-barbarossa,
Hayce Lemsi,3gz8sBWqcMQ0qsrZIoVphx,20065,https://genius.com/artists/Hayce-lemsi,pop urbaine
Kpoint,3ABLHSKKZzNcgpBuXvLB9W,332627,https://genius.com/artists/Kpoint,pop urbaine
Jewel Usain,24lRU7Y7ZWpVa3v23FZqS6,8659,https://genius.com/artists/Jewel-usain,
Sopico,01fkQiYuBZt16vQ8iRIc7g,235193,https://genius.com/artists/Sopico,
Dooz Kawa,4z8LvfxawVZLoLR1KTUzQL,26970,https://genius.com/artists/Dooz-kawa,
Ghetto Phénomène,40fhusTxvAWqq7xKB2rlgf,63001,https://genius.com/artists/Ghetto-phenomene,pop urbaine
Davodka,3viUmbbKSqgMFOVHfrZQpn,41763,https://genius.com/artists/Davodka,
Le Dé,2UZBLsGKZZnYDb37cDM13m,569922,https://genius.com/artists/Lil-peep,
Roshi,4bDcCV0zjPsVs2GxtduYry,196943,https://genius.com/artists/Genius-english-translations,
Lord Kossity,5QWxhSb2qupA3pNE3X6VpM,18002,https://genius.com/artists/Lord-kossity,"ragga,zouk,dancehall"
EDGE,0ZCX1rGywF2LATUUCq0nOg,21747,https://genius.com/artists/Stevie-nicks,
Siboy,04AIS3XqFcq2k8w3Tx4AmU,234809,https://genius.com/artists/Siboy,pop urbaine
Spider ZED,4kAzmAcboZ0F6bCCb4jj8I,77714,https://genius.com/artists/Spider-zed,
Doc Gynéco,4GX9CqwqWtb76wuXwbXR6b,2298,https://genius.com/artists/Doc-gyneco,
Diddi Trix,52h6A1y99QgoEf5FzKEHs1,1038275,https://genius.com/artists/Diddi-trix,
F430,11ajgggOI6hGjR8CF53mhG,1152268,https://genius.com/artists/F430,cloud rap
Negrito,1i8gGjDzv2FNoy6dHcr25K,640693,https://genius.com/artists/Ozuna,"drill,pop urbaine"
Ikaz Boi,1h0vYLWMAElSWYCjm6RBpe,174331,https://genius.com/artists/Ikaz-boi,
Admiral T,4TEnXYHvYwoMopWqxeAnTE,11686,https://genius.com/artists/Admiral-t,"zouk,dancehall,ragga,shatta"
Smeels,6FyY3mlFrDdKUX35GrzeOZ,1460453,https://genius.com/artists/Smeels,
Wit.,4ME56PlDfT9QKf6sGcRgPm,45,https://genius.com/artists/Eminem,
Swift Guad,7MqaRBgnaFIndVIYwC43AP,13158,https://genius.com/artists/Swift-guad,
Don Choa,3nRUvKHrGi4lrRF01yTzod,1963,https://genius.com/artists/Don-choa,
Lonepsi,5iu7PzNW2d8xKOE8IsXgef,211545,https://genius.com/artists/Lonepsi,
ICO,5VkemxUDiz46ZHPdvh0LX0,12232,https://genius.com/artists/Jaden,
