_id,artists_genius_id[0],artists_genius_id[1],artists_genius_id[2],artists_genius_id[3],artists_genius_id[4],artists_genius_id[5],artists_genius_id[6],artists_genius_id[7],artists_genius_id[8],artists_genius_id[9],artists_genius_id[10],artists_genius_id[11],artists_genius_id[12],artists_genius_id[13],artists_genius_id[14],artists_genius_id[15],artists_genius_id[16],artists_genius_id[17],artists_genius_id[18],artists_genius_id[19],artists_genius_id[20],artists_genius_id[21],artists_genius_id[22],artists_id[0],artists_id[1],artists_id[2],artists_id[3],artists_id[4],artists_id[5],artists_id[6],artists_id[7],artists_id[8],artists_id[9],artists_id[10],artists_id[11],artists_id[12],artists_id[13],artists_id[14],artists_id[15],artists_id[16],artists_id[17],artists_id[18],artists_id[19],artists_id[20],artists_id[21],artists_id[22],artists_names[0],artists_names[1],artists_names[2],artists_names[3],artists_names[4],artists_names[5],artists_names[6],artists_names[7],artists_names[8],artists_names[9],artists_names[10],artists_names[11],artists_names[12],artists_names[13],artists_names[14],artists_names[15],artists_names[16],artists_names[17],artists_names[18],artists_names[19],artists_names[20],artists_names[21],artists_names[22],title
2401049,984017,297016,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed62,6830d495a91d5a7989f1edcc,,,,,,,,,,,,,,,,,,,,,,Naps,Graya,,,,,,,,,,,,,,,,,,,,,,La Zone
4622994,984017,,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed62,,,,,,,,,,,,,,,,,,,,,,,Naps,,,,,,,,,,,,,,,,,,,,,,,A la tienne
7000481,984017,1431,693078,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed62,6830d495a91d5a7989f1ed6c,6830d495a91d5a7989f1ed65,,,,,,,,,,,,,,,,,,,,,Naps,Soprano,Soolking,,,,,,,,,,,,,,,,,,,,,Bebeto (Remix)
7980979,984017,,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed62,,,,,,,,,,,,,,,,,,,,,,,Naps,,,,,,,,,,,,,,,,,,,,,,,Cosa
8068176,984017,14693,592670,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed62,6830d495a91d5a7989f1ed6b,6830d495a91d5a7989f1ed84,,,,,,,,,,,,,,,,,,,,,Naps,Kaaris,Kalash Criminel,,,,,,,,,,,,,,,,,,,,,VVS
7784210,1212452,984017,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed7b,6830d495a91d5a7989f1ed62,,,,,,,,,,,,,,,,,,,,,,DA Uzi,Naps,,,,,,,,,,,,,,,,,,,,,,Gadaye
7159959,984017,,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed62,,,,,,,,,,,,,,,,,,,,,,,Naps,,,,,,,,,,,,,,,,,,,,,,,Mexico
7370449,1908,984017,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed93,6830d495a91d5a7989f1ed62,,,,,,,,,,,,,,,,,,,,,,Rohff,Naps,,,,,,,,,,,,,,,,,,,,,,Antibiotique
7635505,1206608,984017,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ef27,6830d495a91d5a7989f1ed62,,,,,,,,,,,,,,,,,,,,,,Vegedream,Naps,,,,,,,,,,,,,,,,,,,,,,On a l’habitude (Ok Many)
5314881,563979,984017,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1edc9,6830d495a91d5a7989f1ed62,,,,,,,,,,,,,,,,,,,,,,GLK,Naps,,,,,,,,,,,,,,,,,,,,,,Ma life
